# 命令
讲			座			:lecture
游泳			馆			:swimming
我要关键词			！！！			:keywords
周			次			:week
夜			宵			:nightingale
			:chat
荔园			送水			荔园送水电话：88826662（时间8:00-19:00）（投诉电话1371432345）
打印机			荔园打印机在荔园一栋二楼，湖畔打印机在一栋与三栋，其他请查看http://pms.sustc.edu.cn/。
艺术中心			艺术中心电话：88015852，位于教工之家附近。
致诚			致诚书院电话：0755-88015068。邮箱：zcsy@sustc.edu.cn。群：790500959。
致新			致新书院电话：0755-88010540。邮箱：zxc@sustc.edu.cn。群：64480582。
致仁			致仁书院电话：0755-88010521、88015066。邮箱：zhiren@sustc.edu.cn。群：813746387。
树礼			树礼书院电话：0755-88010557。邮箱：slc@sustc.edu.cn。群：129669513。
树德			树德书院电话：0755-88015057。邮箱：sdc@sustc.edu.cn。群：811045655。
树仁			树仁书院电话：0755-88015058。邮箱：src@sustc.edu.cn。群：811107243。
马旭			max@sustc.edu.cn
# 群号码
魔方			魔方社群：314962185
退学			还没有试过呐，要不你试一下告诉我/疑问退学交流群：638179032。
计算机系			计算机系总群：422191737
膜法			膜法群：340700905
老司机			老司机群：426160384
线代			姚静老师线代没建群QAQ
粤语			欢迎加入南科大粤语社，群聊号码：338485337
米多多			米多多群：630520063
租房			租房合租群：613124280
电信			电信群：526193061
狼人杀			狼人杀群：579712800
物理实验			点击链接加入群聊【基础物理实验2018秋】：https://jq.qq.com/?_wv=1027&k=5Hbxvky
物理			欢迎加入大一物理作业交流群，群聊号码：673372087
物业			学生物业交流群：216385635
烤冷面			烤冷面群：581112298
火锅			火锅群：264685116
食堂			湖畔食堂意见群：399521317。荔园食堂反馈群：623182724。
游泳			点击链接加入群聊【SUSTC-游泳俱乐部】：https://jq.qq.com/?_wv=1027&k=5ggbHWF
浙江			浙江省群：128231098（学生）
模联			南科模联欢迎咨询：676848841
跳蚤			网络跳蚤市场交易群：347989867
桥牌			桥牌社群：479445071
新生			新生群：539161838
文学社			文学社群：132115284
数学系			数学系群：224544563
挑东西			挑东西凑单群：688705412
思修			欢迎加入2018秋思修周四二班，群聊号码：644807099
建模			南科大建模群：468718272
山东			山东省群：182252485（学生）
家教			家教群：458652433
安德			安德笔记分享群：664190083
学术			南科大-学术信息发布：99070167
失物			427987486（南科大失物招领2群）
天文			南科大天文社：481891044
夜猫子			南科大夜猫子群：492098882
外卖			一点点凑单群：638896518（QQ），挑动西凑单群：688705412 （QQ），米多多凑单群：630520063 （QQ），乡香食集（微信），coco都可 （只送6号门）（微信）
吹水			胡扯吹水群：633939927
吉他			吉他社群：74338619
南风喃			南风喃反馈交流群：337043100
单身			单身社群：768912714
勤工			勤工助学群：334204201
创客			创客空间群号：545016413
凑单			南科大凑单群：512105063
军协			南科大军协群：601171283
兼职			南科大兼职信息发布群：263608699
公益			南科公益交流群：275945182
修车			ROTATOЯ 南科自行车维护：191061786
信息			南科大信息交流群：286147538
代购			南科大全球代购：541281699
总群			南科大新总群：770743126
交易			荔园			南科荔园交易群：368174731。南科欣园交易群：664770284。
互赞			互赞群：524068910
书画			书画社群：133436241
书市			南科大的二手书市：570890152。南科大第二个二手书市：438891088。
三国杀			欢迎加入南科大三国杀约战，群聊号码：668673437
steam			Steam群：198498987
Mathematica			Mathematica群：776239998
MATLAB			SUSTech_MATLAB群：676043364
LaTeX			LaTeX学习交流群：119667812
家长			南科大家长部落，群号码24148417。
本科生			南科大2018 本科生群：539161838。南科大2017本科生群：647341804。
勃学			欢迎加入Boism SUSTech，群聊号码：724118078。
交易			交易群：874946067（一群已经满员此为二群）
跑酷			CFPL×南方科技大学跑酷: 709597980
线代			欢迎加入习题课14班，群聊号码：882668368
网络			网络故障：18948723168 李工。
# 网站
软件			南科大常用软件下载：http://www.sustc.edu.cn/swxz
表格			南科大常用表格下载：http://zzjg.sustc.edu.cn/c1fbe001eb2aef9c6aac157ef2d84827/cn/site/index/sort_id/268/app_id/
联创			http://172.18.1.141/
系统			南方科技大学常用系统：http://www.sustc.edu.cn/system
支付			南方科技大学校园统一支付平台：http://payment.sustc.edu.cn/
义工			志愿深圳http://www.sva.org.cn/
Sakai			Sakai：http://sakai.sustc.edu.cn/portal
# 专业群
金融			金融系：88018699。地址：慧园3栋301
计算机			计算机科学与工程系：88018585。地址：南山智园A7栋
电子			电子与电气工程系：88018536。地址：第二科研楼5楼生物系行政办公室
生物			生物系：88018424。地址：第一科研楼2-3层。邮箱：biology@sustc.edu.cn
环境			环境科学与工程系：88010821。地址：慧园2栋。邮箱：iese@sustc.edu.cn
物理			物理系：88018254。地址：第二科研楼201物理系办公室。邮箱：phyyzb@sustc.edu.cn
海洋			海洋科学与工程系：88018775。地址：慧园6栋三楼。第二科研楼三楼。邮箱：ocean-admin@sustc.edu.cn
材料			材料科学与工程系：88918936。地址：第二科研楼403室材料科学与工程系
机械			机械与能源工程系：880108170。地址：慧园5栋4楼
数学			数学系：88018703。地址：慧园3栋401办公室
地球			地球与空间科学系：88015513。地址：第二科研楼310
医学			生物医学工程系：88015173。地址：第二科研楼3楼
化学			化学系：88018300。地址：第一科研楼5S17
力学			力学与航空航天工程系：88015909。地址：慧园5栋502
# 流程等
社联			社联位于荔园5栋3楼。
社康			社康中心电话			：88010120，24小时急诊联系电话：18218715551。社康中心（医务室）：88010120。周一至周五09:00-17:00 中午不停诊。
眼镜			塘朗：眼镜森林、明旗眼镜。大学城（西丽肯德基附近）九方（民治水榭春天附近）
看病			看病：学校社康中心（现搬迁至风雨操场，带社保卡挂号）。其余医院社保卡使用：住院所有医院除了北大深圳医院都能报，门诊需到学校社康中心工作时间办转院手续方可报销，转院手续需预约。
监控			湖畔三栋取表，书院辅导员，书院院长，后勤处部长，行政楼二楼。监控可在湖畔三栋，荔园三栋调取
黄依俊			黄依俊电话：18520867870
面包房			 学校面包房好像没有电话，必须去店里，位于专家公寓二栋楼下。营业时间：面包房：7：00-19：00。
超市			湖畔三栋商店电话：13559725408
西餐厅			西餐厅电话：88015240
茶餐厅			茶餐厅电话：88015244
电信			中国电信南科大营业厅紧急联系电话：15818720837
物业			物业电话：88010123。24小时物业客服中心（可进行场地预约）：88015047。物业投诉邮箱：service_wuye@ustc.edu.cn。
森林印务			森林印务：18875903931
教室			一教教室管理（二楼玻璃房间）：88015841。荔园教室管理（一栋208）：88015010。
收发室			收发室：经理郝建新：18825210864，书院收发室：88010111，荔园收发室：88015011
报警			学校应急办公室值班电话（报警电话）：8801011088010110
急救			急救电话：18218715551。
开锁			开锁：13715130385
宿管			一栋：88015045：二栋：88010106。三栋：88015047。四栋：88010104。五栋：88015048。六栋：88015846。七栋：26918320。八栋：26653617。九栋：26902961。十栋（荔园）：26403730。
安保			88015047
学校			+86-0755-8801-0000
发社			校园发社：18682069959
信息中心			信息中心电话：88010777
生气			人生就象一场戏，因为有缘才相聚。相扶到老不容易，是否更该去珍惜。为了小事发脾气，回头想来又何必。别人生气我不气，气出病来无人替。我若气坏谁如意，而且伤神又费力。出门在外少管事，早去早归少惦记。邻居亲朋不要比，儿孙琐事随他去。娃娃降生皆欢喜，人到终年任他去。吃苦享乐在一起，神仙羡慕好伴侣。男女老少多注意，莫生气啊莫生气。
理发			校园发社，深圳大学宿舍区、塘朗村。标准洗剪吹都是35左右。九七发型工作室——剪发28，哈工大门口对面。优剪，水木丹华，39只有剪发。
预订/预定/预约			球场预定电话：88010123
牙医			亲和齿科（九方购物中心）
照相			58图文快印、多彩图文、新春燕照相馆。20 元8 张。加回执25。西丽地铁站自动照相机。
照片			58图文快印、多彩图文、新春燕照相馆。20 元8 张。加回执25。西丽地铁站自动照相机。
游泳馆			游泳馆电话：88018106
校园卡			校园卡补办：微信企业号“南科大”——校园卡——卡务。
校历			http://www.sustc.edu.cn/calendar
食堂			食堂营业时间：早餐7:00-9:00，中餐11:20-13:00，晚餐17:20-19:00，夜宵20:30-22:30。
超市			超市营业时间：荔园超市：7：00-24：00。欣园超市：7：00-24：00。
收发室			收发室开门时间：9:30-13:00，15:00-19:00
学生事务			学生事务中心工作时间：周一至周五8：30-19：00。咨询：servicescenter@sustc.edu.cn，88010555。
新闻			http://newshub.sustc.edu.cn/zh/
打印机			缺纸请联系信息中心：联系电话88010177。复印：点“复印”→刷卡→放件→按“开始”→刷卡结束 拿走原件和复印件。
心理咨询			学校心理咨询预约，发邮件、姓名、电话、班级到counseling@sustc.edu.cn
心理			心理咨询：88010511。（24 小时心理热线：4000980708 转9）。发邮件、姓名、电话、班级到counseling@sustc.edu.cn。地址：荔园九栋105。
幼儿园			幼儿园：88015030/15031。
就业指导			就业指导中心：88015057。邮箱：career@sustc.edu.cn
快递			寄快递：学校收发室提供韵达、圆通、汇通、顺丰四种快递。在收发室扫码下单，填写清楚收发货地址，将会有快递员取件（费用直接支付给收发室即可）。
宣传册			http://welcome.sustc.edu.cn/uploads/file/e7VZXwwoxhYT4ia2SKbt.pdf
官网			http://new.sustc.edu.cn/
安德			能吃嘛/疑问
卡			校			补办学生卡：微信企业号“南科大”——校园卡——卡务。
地图			http://www.sustc.edu.cn/upload/images/pangcq/20161025%E5%8D%97%E7%A7%91%E5%A4%A7%E5%9C%B0%E5%9B%BE.jpg
图书馆			图书馆开放时间：8:00-22:00。图书馆：88010800。邮箱：lib@sustc.edu.cn。网站：http://lib.sustc.edu.cn/。
会议			国际会议报告厅：行政楼一楼
国际			国际合作部：88010303。邮箱：geo_students@sustc.edu.cn。
南风点点			网站：nkd.nanfengfood.com或直接百度南风点点南科大。
发票			南科大发票抬头：124403005521093031。
创新创业			创新创业中心：慧园2栋，邮箱：icollege@sustc.edu.cn。
公众号			个人公众号：串串科技、啵闻、南科数据。
修			车			荔园8 栋楼下：校园车社（可淘宝购买零件替换）。塘朗派出所旁边：吉兴单车行。塘朗派出所对面：永发电动车单车。补洞：5r。内胎：15-20r。外胎：25-40r
修			电脑			塘朗非官方：电脑维修监控。联想：龙华商业中心，国美西丽。苹果：益田假日广场。戴尔：海雅缤纷城。华硕：民治，九方附近
信息			网络信息中心（咨询联创、打印机、网络服务等）：88010777。邮箱：its@sustc.edu.cn
住宿			维也纳酒店深圳大学城店：深圳市南山区西丽镇平山村平山1 路。马经理13510308840
住宿			维也纳酒店深圳北站店：深圳市龙华新区高铁北站西广场B 座。王经理13510306665
住宿			尚客优快捷酒店深圳西丽店：深圳市南山区西丽留仙大道366 大街。联系人：0755-86066116
住宿			塘朗雅园酒店：深圳市南山区西丽学苑大道田寮大厦。联系人：张经理13808838154
住宿			以上校外酒店，南科大家长可以议价。
住宿			专家公寓：专家公寓二栋0755-86664597、0755-88015773
住宿			万客隆酒店：深圳市南山区西丽丽水路1048 号。联系人：尹经理13902485866
人文中心			人文中心：88015330。地址：图书馆203。邮箱：rwkxzx@sustc.edu.cn。
# 物品遗失
丢			食堂			食堂一楼小卖部（卖饮料的家），一楼打饭刷卡的地方
丢			风雨操场			物业管理玻璃房
丢			行政			一楼前台
丢			荔园			食堂二楼卖饮料处、荔园一栋208
丢			科研楼			一教201 对面的玻璃房
丢			欣园			宿管值班室（欣园一栋）
丢			松禾			专家公寓二栋一楼
丢			教师公寓			专家公寓二栋一楼
丢			教学楼			一教201 对面的玻璃房
丢			宿舍			一栋学生事务中心，三栋物业办公室
丢			图书馆			一楼前台，各层楼口移动推车
专家公寓			电话			专家公寓: 手机号码  8666 4597
网吧			超时代，前岸有学生卡优惠，价格6-10 元每小时。
gpa			查询GPA：http://ehall.sustc.edu.cn/new/index.html（网上服务大厅）然后 学生教务信息 然后 GPA与学分。
KTV			塘朗村：尊龙，莱斯尼斯，咪咕。西丽：留仙居，囍量版KTV 会所
校徽			http://www.sustc.edu.cn/biaozhi
数据结构			欢迎加入数据结构和算法分析，群聊号码：873697925
专家公寓			专家公寓：专家公寓二栋0755-86664597、0755-88015773。220单人，240双人，单人间大床比双人间的床要大。
ET			CLUB			ET-Club群：691024892
纪念			学生事务中心里边的品牌文化店可以购买学校的纪念品~
342			QQ前三位~
价格			一个寝室西餐厅500，茶餐厅250
欧洲			南科大欧洲申请交流：391867782
绩点			A+(97~100):4.00,   A(93~96):3.94,   A-(90~92):3.85,   B+(87~89):3.73,   B(83~86):3.55,   B-(80~82):3.32,   C+(77~79):3.09,   C(73~76):2.78,   C-(70~72):2.42,   D+(67~69):2.08,   D(63~66):1.63,   D-(60~62):1.15,   F:0
绩点			https://i.loli.net/2018/09/27/5bacdd2718c29.jpg
港			去香港的手续：可在淘宝购买八达通（淘宝下单，口岸自取），香港电话卡，团签签证单
线代			https://www.bilibili.com/video/av15463995
理发			校园发社：上午10点到晚上10点
挂失			校园卡挂失需要到行政楼行政服务中心，早上8:30至下午6:00。或者前往圈存机，有解挂申请，根据步骤来即可。
